,delfi,ft
0,0.16757167273852844,0.1644166857917704
1,0.1906683489670443,0.1893932971070828
2,0.1861280013011139,0.1854260487255257
3,0.18264419988026406,0.18229615359024934
4,0.1992036126741873,0.19873695009358663
5,0.19876668018173255,0.19814103574672445
6,0.19375748613542032,0.19386018381187975
7,0.1929838110357234,0.19250072755517025
8,0.20001941584788938,0.19937618201333407
9,0.18759300428641515,0.18789687254306522
10,0.19709636577802467,0.19672441098790117
11,0.1875082678675581,0.18723550967626246
12,0.19300094310857827,0.19326686149884675
13,0.18962454453491184,0.19211748628220984
14,0.17944181580877647,0.1845679208362542
15,0.18420665318422308,0.18833300575403406
16,0.19065117980347954,0.1931371531921071
17,0.19452798459472,0.1951679762153002
18,0.1893788215226023,0.19024404384938207
19,0.19247257272850551,0.1958753504839999
20,0.1807866611231564,0.18928164009515155
21,0.2065110505467593,0.2069736665664628
22,0.19377112563638454,0.1936025259299513
23,0.19733800466267462,0.1975492323494735
24,0.18668195171046895,0.18736523178666545
25,0.1893350892852835,0.18942258392509206
26,0.18933816970676728,0.18866240957803154
27,0.19452453816520088,0.19504269008892747
28,0.19035328739686072,0.19046034723497687
29,0.17776317831761249,0.17922731039706302
30,0.18943489081918988,0.1891999348825956
31,0.20093176585507033,0.20088099276859986
32,0.19797317111898494,0.19981941198433456
33,0.18246378507389344,0.18997591714868778
34,0.18487492615910553,0.1951087622734706
35,0.19826987616715402,0.2006106711101643
36,0.19691627964476935,0.19719340641196026
37,0.18803197538145974,0.18823397710225417
38,0.20093648732491834,0.2016770668557001
39,0.19175261381225794,0.19192402711876957
40,0.20522949436094368,0.20538705022982337
41,0.21051019277058572,0.20959516540895767
42,0.20080602913469542,0.20018096810317643
43,0.17642553771449,0.17703593361474082
44,0.1931643891527501,0.1925681789941912
45,0.18455493791332936,0.18576989258929785
46,0.18531628930344823,0.18557532381489922
47,0.19145107264588768,0.19207848353034504
48,0.1950080063735776,0.19452116791492763
49,0.19298088946883363,0.1942248895417513
50,0.19784620071597728,0.1982707943472667
51,0.19219119984078903,0.19378996807990564
52,0.19085919399995593,0.19173548112717764
53,0.18706765719099025,0.1905400684695453
54,0.18486130353549346,0.187545824675285
55,0.21302006958126815,0.21354176648418224
56,0.19544858440200613,0.19537775870805893
57,0.19350296322627344,0.1937383073210962
58,0.17923352940745357,0.18363677337501816
59,0.18331054977923114,0.18715154294348008
60,0.18321491281941052,0.18242864764575165
61,0.1769095800972188,0.17693316763843472
62,0.1963498374812647,0.19609257448153533
63,0.18876483443580674,0.1891916353934172
64,0.18471284247072675,0.1840505675787295
65,0.18432076320604657,0.18783204468090797
66,0.1902017788926754,0.1927560097365432
67,0.19505961843788053,0.19459361320602728
